month_date_yyyymm,county_fips,county_name,median_listing_price
201912,34021,"mercer, nj",342500
201912,34031,"passaic, nj",385000
201912,34017,"hudson, nj",522500
201912,34039,"union, nj",399900
201912,34007,"camden, nj",199900
201912,34009,"cape may, nj",469450
201912,34003,"bergen, nj",632000
201912,34041,"warren, nj",265950
201912,34025,"monmouth, nj",534250
201912,34011,"cumberland, nj",142450
201912,34023,"middlesex, nj",385000
201912,34033,"salem, nj",137000
201912,34035,"somerset, nj",520000
201912,34037,"sussex, nj",284950
201912,34029,"ocean, nj",339950
201912,34019,"hunterdon, nj",499450
201912,34001,"atlantic, nj",249900
201912,34015,"gloucester, nj",209900
201912,34005,"burlington, nj",260900
201912,34027,"morris, nj",539000
201912,34013,"essex, nj",399000
201911,34009,"cape may, nj",460000
201911,34003,"bergen, nj",629000
201911,34023,"middlesex, nj",389900
201911,34005,"burlington, nj",270000
201911,34027,"morris, nj",539000
201911,34029,"ocean, nj",340000
201911,34011,"cumberland, nj",146000
201911,34013,"essex, nj",400000
201911,34021,"mercer, nj",349900
201911,34041,"warren, nj",269900
201911,34001,"atlantic, nj",250000
201911,34031,"passaic, nj",384900
201911,34035,"somerset, nj",529999
201911,34007,"camden, nj",199999
201911,34039,"union, nj",400000
201911,34017,"hudson, nj",524900
201911,34033,"salem, nj",140000
201911,34037,"sussex, nj",289000
201911,34019,"hunterdon, nj",499900
201911,34015,"gloucester, nj",212900
201911,34025,"monmouth, nj",539900
201910,34037,"sussex, nj",293500
201910,34035,"somerset, nj",547450
201910,34019,"hunterdon, nj",499000
201910,34041,"warren, nj",267500
201910,34001,"atlantic, nj",249900
201910,34021,"mercer, nj",371000
201910,34005,"burlington, nj",279900
201910,34031,"passaic, nj",385000
201910,34007,"camden, nj",205500
201910,34003,"bergen, nj",638950
201910,34027,"morris, nj",538900
201910,34013,"essex, nj",416950
201910,34025,"monmouth, nj",539900
201910,34009,"cape may, nj",444000
201910,34033,"salem, nj",144450
201910,34023,"middlesex, nj",399000
201910,34015,"gloucester, nj",209950
201910,34039,"union, nj",410000
201910,34029,"ocean, nj",340000
201910,34011,"cumberland, nj",147450
201910,34017,"hudson, nj",529000
201909,34019,"hunterdon, nj",499521
201909,34003,"bergen, nj",639900
201909,34025,"monmouth, nj",535000
201909,34031,"passaic, nj",386500
201909,34011,"cumberland, nj",149900
201909,34009,"cape may, nj",434807
201909,34027,"morris, nj",539900
201909,34039,"union, nj",400000
201909,34029,"ocean, nj",346157
201909,34017,"hudson, nj",523100
201909,34037,"sussex, nj",289000
201909,34041,"warren, nj",267921
201909,34035,"somerset, nj",560143
201909,34013,"essex, nj",419950
201909,34007,"camden, nj",206000
201909,34005,"burlington, nj",276950
201909,34001,"atlantic, nj",249900
201909,34023,"middlesex, nj",399900
201909,34021,"mercer, nj",375950
201909,34033,"salem, nj",140000
201909,34015,"gloucester, nj",210000
201908,34005,"burlington, nj",272043
201908,34033,"salem, nj",141100
201908,34029,"ocean, nj",343157
201908,34023,"middlesex, nj",399900
201908,34011,"cumberland, nj",149386
201908,34019,"hunterdon, nj",499571
201908,34041,"warren, nj",268871
201908,34039,"union, nj",405086
201908,34021,"mercer, nj",371657
201908,34027,"morris, nj",544629
201908,34003,"bergen, nj",634285
201908,34001,"atlantic, nj",255614
201908,34017,"hudson, nj",525100
201908,34025,"monmouth, nj",534429
201908,34009,"cape may, nj",434857
201908,34031,"passaic, nj",381714
201908,34037,"sussex, nj",286714
201908,34013,"essex, nj",415000
201908,34007,"camden, nj",202142
201908,34035,"somerset, nj",568143
201908,34015,"gloucester, nj",212757
201907,34001,"atlantic, nj",259950
201907,34019,"hunterdon, nj",499995
201907,34039,"union, nj",417000
201907,34005,"burlington, nj",269900
201907,34033,"salem, nj",140500
201907,34023,"middlesex, nj",404900
201907,34031,"passaic, nj",380000
201907,34029,"ocean, nj",339900
201907,34013,"essex, nj",423000
201907,34037,"sussex, nj",285000
201907,34035,"somerset, nj",592000
201907,34027,"morris, nj",549000
201907,34011,"cumberland, nj",149450
201907,34007,"camden, nj",200000
201907,34041,"warren, nj",273900
201907,34021,"mercer, nj",375750
201907,34017,"hudson, nj",534500
201907,34025,"monmouth, nj",534450
201907,34003,"bergen, nj",639000
201907,34015,"gloucester, nj",214900
201907,34009,"cape may, nj",432450
201906,34025,"monmouth, nj",539900
201906,34011,"cumberland, nj",145000
201906,34039,"union, nj",423000
201906,34013,"essex, nj",439900
201906,34001,"atlantic, nj",260000
201906,34007,"camden, nj",209500
201906,34015,"gloucester, nj",215000
201906,34041,"warren, nj",269000
201906,34027,"morris, nj",550000
201906,34029,"ocean, nj",339000
201906,34037,"sussex, nj",279000
201906,34017,"hudson, nj",550000
201906,34019,"hunterdon, nj",499900
201906,34033,"salem, nj",140000
201906,34009,"cape may, nj",432000
201906,34005,"burlington, nj",269000
201906,34035,"somerset, nj",599900
201906,34021,"mercer, nj",385000
201906,34003,"bergen, nj",642000
201906,34023,"middlesex, nj",408888
201906,34031,"passaic, nj",375000
201905,34015,"gloucester, nj",209950
201905,34041,"warren, nj",254500
201905,34019,"hunterdon, nj",499900
201905,34009,"cape may, nj",429900
201905,34007,"camden, nj",199900
201905,34011,"cumberland, nj",142450
201905,34035,"somerset, nj",599400
201905,34005,"burlington, nj",261995
201905,34017,"hudson, nj",550000
201905,34031,"passaic, nj",367400
201905,34025,"monmouth, nj",534950
201905,34003,"bergen, nj",629000
201905,34013,"essex, nj",429900
201905,34029,"ocean, nj",334450
201905,34021,"mercer, nj",377450
201905,34001,"atlantic, nj",269000
201905,34033,"salem, nj",134950
201905,34023,"middlesex, nj",399900
201905,34039,"union, nj",429750
201905,34037,"sussex, nj",279000
201905,34027,"morris, nj",549450
201904,34031,"passaic, nj",358900
201904,34039,"union, nj",409250
201904,34011,"cumberland, nj",139900
201904,34007,"camden, nj",197450
201904,34037,"sussex, nj",272400
201904,34003,"bergen, nj",621444
201904,34025,"monmouth, nj",535571
201904,34001,"atlantic, nj",268495
201904,34021,"mercer, nj",347450
201904,34035,"somerset, nj",591950
201904,34017,"hudson, nj",558214
201904,34027,"morris, nj",534900
201904,34015,"gloucester, nj",204950
201904,34005,"burlington, nj",249950
