"","population","median_age","household_income","per_capita_income","poverty_count","unemployment_count","fips_code","county","state"
"1",590,38.9,74911,27568,17,3,49009,"Daggett","Utah"
"2",1870,53.4,29125,18148,351,18,49031,"Piute","Utah"
"3",6179,51.4,47035,27583,870,153,50009,"Essex","Vermont"
"4",439,48,48500,25277,55,1,31005,"Arthur","Nebraska"
"5",2887,48.6,41979,29420,275,11,31017,"Brown","Nebraska"
"6",3707,44.2,56135,30850,325,66,31029,"Chase","Nebraska"
"7",1928,42.9,49211,27697,209,11,31057,"Dundy","Nebraska"
"8",2636,44.5,59250,29043,237,66,31063,"Frontier","Nebraska"
"9",1916,49.6,42076,33689,161,17,31069,"Garden","Nebraska"
"10",691,37.9,43625,23806,115,3,31075,"Grant","Nebraska"
"11",1159,47.6,85750,37690,139,45,6003,"Alpine","California"
"12",42909,39,64252,31778,4321,861,27067,"Kandiyohi","Minnesota"
"13",9329,43.8,53457,33416,1034,160,27151,"Swift","Minnesota"
"14",420,58.1,51932,33001,57,0,31117,"McPherson","Nebraska"
"15",4100,47,56205,31264,369,16,31175,"Valley","Nebraska"
"16",1839,42.5,67478,30516,336,0,32011,"Eureka","Nevada"
"17",2898,54,52103,32533,271,98,6091,"Sierra","California"
"18",1999,41.1,67763,31409,256,17,8017,"Cheyenne","Colorado"
"19",45233,47,54426,28030,5725,1012,53065,"Stevens","Washington"
"20",1896,57.5,56786,31290,130,33,8033,"Dolores","Colorado"
"21",781,55.5,39038,34595,80,19,8053,"Hinsdale","Colorado"
"22",1316,53.9,46157,30813,119,69,8057,"Jackson","Colorado"
"23",1463,39.8,39503,23275,194,23,8061,"Kiowa","Colorado"
"24",1305,53.3,42300,27759,185,15,30011,"Carter","Montana"
"25",1705,51.4,56026,33614,131,12,30019,"Daniels","Montana"
"26",2975,35.3,69792,36409,361,2,30025,"Fallon","Montana"
"27",1051,40.1,43750,29149,57,0,30033,"Garfield","Montana"
"28",814,55,49028,30053,135,8,30037,"Golden Valley","Montana"
"29",645,50.4,53864,30628,22,5,31007,"Banner","Nebraska"
"30",467,57.5,55268,29748,19,0,31009,"Blaine","Nebraska"
"31",1882,56.2,53846,31863,185,17,31015,"Boyd","Nebraska"
"32",1770,50.1,48958,27998,144,37,31049,"Deuel","Nebraska"
"33",2081,45.8,54659,29119,173,3,31071,"Garfield","Nebraska"
"34",889,48.3,52396,30768,124,2,31085,"Hayes","Nebraska"
"35",741,46.1,48654,28859,80,9,31091,"Hooker","Nebraska"
"36",875,48.4,55250,32202,61,0,31103,"Keya Paha","Nebraska"
"37",896,39.4,45990,21836,98,1,31113,"Logan","Nebraska"
"38",690,44.5,46111,26975,61,0,31115,"Loup","Nebraska"
"39",1826,49.4,57045,31242,95,16,30055,"McCone","Montana"
"40",1795,56.3,46815,26392,236,5,30059,"Meagher","Montana"
"41",4682,51.5,46328,27843,574,134,30065,"Musselshell","Montana"
"42",464,49.6,40000,28220,55,9,30069,"Petroleum","Montana"
"43",1634,50.2,57755,33170,223,6,30075,"Powder River","Montana"
"44",1162,52.5,42350,28892,161,13,30079,"Prairie","Montana"
"45",3389,43.7,54135,37958,345,39,30091,"Sheridan","Montana"
"46",614,57.8,44671,33685,68,4,30103,"Treasure","Montana"
"47",1037,50.5,50972,26405,108,2,30109,"Wibaux","Montana"
"48",18900,41.5,50912,24303,2560,313,13011,"Banks","Georgia"
"49",1430,41,51458,33216,86,9,31149,"Rock","Nebraska"
"50",1298,35.4,47422,25398,105,17,31165,"Sioux","Nebraska"
"51",586,33.6,59000,35694,65,6,31171,"Thomas","Nebraska"
"52",689,58.9,48438,31775,87,0,31183,"Wheeler","Nebraska"
"53",1030,54.6,31845,23192,135,12,32009,"Esmeralda","Nevada"
"54",201434,37.2,63651,30459,27889,3507,13139,"Hall","Georgia"
"55",2290,56.9,34394,22827,328,191,13239,"Quitman","Georgia"
"56",1596,45.2,37717,20979,394,29,13265,"Taliaferro","Georgia"
"57",97980,38.1,54530,28220,16652,3126,22057,"Lafourche Parish","Louisiana"
"58",111297,36.1,52224,27495,20554,3193,22109,"Terrebonne Parish","Louisiana"
"59",1355683,41.9,120036,53363,72203,29635,36059,"Nassau","New York"
"60",109774,43.8,64795,37044,9619,2018,36069,"Ontario","New York"
"61",1950,41.7,69386,32740,136,5,48011,"Armstrong","Texas"
"62",6916,33.7,55038,23594,755,93,48017,"Bailey","Texas"
"63",1348,46.9,37875,24991,225,20,48045,"Briscoe","Texas"
"64",1624,37.3,40250,23798,374,63,48101,"Cottle","Texas"
"65",3393,44.1,46695,23655,596,0,48105,"Crockett","Texas"
"66",1069,44.5,36908,31291,132,12,16025,"Camas","Idaho"
"67",885,37.7,36429,20733,87,12,16033,"Clark","Idaho"
"68",2270976,39.3,72028,33626,260191,71045,36081,"Queens","New York"
"69",1481364,41.7,105362,46466,93999,35874,36103,"Suffolk","New York"
"70",24981,40.7,55307,28001,3218,439,36123,"Yates","New York"
"71",27009,48.6,43030,25282,3959,573,37009,"Ashe","North Carolina"
"72",134328,34.7,54565,24693,20694,3803,37085,"Harnett","North Carolina"
"73",1944,40.7,40643,20655,198,0,48137,"Edwards","Texas"
"74",1207,55.1,39306,27668,111,53,48155,"Foard","Texas"
"75",6028,42.8,58938,17723,935,173,48169,"Garza","Texas"
"76",1553,43.3,53778,29460,195,40,48235,"Irion","Texas"
"77",391,41.2,40083,15058,8,0,48261,"Kenedy","Texas"
"78",704,43.5,61706,30835,81,13,48263,"Kent","Texas"
"79",279,39.4,39286,17971,101,10,48269,"King","Texas"
"80",7551,36.3,47162,17177,1212,85,48283,"La Salle","Texas"
"81",122495,43.6,50856,29336,16484,2765,42013,"Blair","Pennsylvania"
"82",350722,47.2,61398,34992,32477,8377,42129,"Westmoreland","Pennsylvania"
"83",1091662,36.4,83567,42721,91083,25352,37183,"Wake","North Carolina"
"84",68341,45.1,44980,25634,11033,1655,37193,"Wilkes","North Carolina"
"85",1362,46.4,45417,27075,99,29,48345,"Motley","Texas"
"86",784,47.2,61964,29673,83,5,48393,"Roberts","Texas"
"87",1274,34.4,53194,27551,30,6,48431,"Sterling","Texas"
"88",1412,40.8,58309,23300,126,26,48433,"Stonewall","Texas"
"89",903,59.1,42823,26056,43,0,48443,"Terrell","Texas"
"90",1500,48.4,41875,31628,339,35,48447,"Throckmorton","Texas"
"91",1278,48.6,60508,40919,134,4,46119,"Sully","South Dakota"
"92",26843,46.1,54390,29116,3182,572,50019,"Orleans","Vermont"
"93",77879,39.9,67603,34609,7199,1645,18043,"Floyd","Indiana"
"94",40164,42.6,59169,28056,3583,937,18061,"Harrison","Indiana"
"95",658615,37.9,55088,33343,100865,20151,1073,"Jefferson","Alabama"
"96",216350,39.5,78889,39711,14619,4238,1117,"Shelby","Alabama"
"97",513402,37.8,60101,32766,64349,13786,53063,"Spokane","Washington"
"98",43508,42.3,57200,28320,7196,881,39015,"Brown","Ohio"
"99",205616,40.2,69720,35472,18728,4549,39025,"Clermont","Ohio"
"100",509844,34,73817,31310,49946,11260,8001,"Adams","Colorado"
"101",649980,36.8,80291,42184,49932,15920,8005,"Arapahoe","Colorado"
"102",853,51,53571,30908,127,27,8079,"Mineral","Colorado"
"103",646,45.1,56875,36454,105,20,8111,"San Juan","Colorado"
"104",653,37.2,83281,33412,24,13,48033,"Borden","Texas"
"105",1447,36.6,74375,30062,240,0,48173,"Glasscock","Texas"
"106",1223,43.6,28333,19785,255,26,28055,"Issaquena","Mississippi"
"107",2455,40.1,46750,46198,515,0,30051,"Liberty","Montana"
"108",117,62.2,44076,37693,0,0,48301,"Loving","Texas"
"109",724,36.1,67386,31191,76,16,48311,"McMullen","Texas"
"110",1995,22.2,31532,15996,275,69,35011,"De Baca","New Mexico"
"111",432,43.5,32500,50027,52,7,35021,"Harding","New Mexico"
"112",1686,47.8,51472,34548,168,15,41055,"Sherman","Oregon"
"113",1417,56.9,45354,23628,207,23,41069,"Wheeler","Oregon"
"114",131611,45.6,47644,27173,18196,3111,42021,"Cambria","Pennsylvania"
"115",1796,48.1,72308,37890,87,31,38033,"Golden Valley","North Dakota"
"116",2314,54.4,53917,38386,96,17,38039,"Griggs","North Dakota"
"117",4225,46.8,61477,35278,556,17,38045,"LaMoure","North Dakota"
"118",1962,48,66641,32784,228,24,38065,"Oliver","North Dakota"
"119",1289,52.5,54250,35335,79,10,38083,"Sheridan","North Dakota"
"120",1817,45.9,77167,38907,174,5,38091,"Steele","North Dakota"
"121",4493,43.1,49668,28934,912,56,20007,"Barber","Kansas"
"122",130329,45.1,49075,27778,20739,4334,42051,"Fayette","Pennsylvania"
"123",73844,46.2,51255,27323,7372,1668,42111,"Somerset","Pennsylvania"
"124",62150,50.1,52488,34629,9938,1872,45043,"Georgetown","South Carolina"
"125",4427,41.2,35711,20584,1044,208,28125,"Sharkey","Mississippi"
"126",1759,50.7,48125,29271,147,29,20033,"Comanche","Kansas"
"127",1156,40.3,53750,27300,116,0,20071,"Greeley","Kansas"
"128",1872,48.7,60703,30218,206,34,20083,"Hodgeman","Kansas"
"129",2953,46.8,46333,27291,249,56,20165,"Rush","Kansas"
"130",344186,46.7,51570,29055,48449,9569,45051,"Horry","South Carolina"
"131",66990,40.7,44374,23482,13194,2041,45059,"Laurens","South Carolina"
"132",1458,50.6,54228,32029,49,6,46021,"Campbell","South Dakota"
"133",1935,43.6,40673,23725,369,12,46055,"Haakon","South Dakota"
"134",3064,47.8,58333,34936,276,0,46059,"Hand","South Dakota"
"135",1178,44.8,61111,34028,77,6,46063,"Harding","South Dakota"
"136",1446,52.6,59844,33833,71,4,46069,"Hyde","South Dakota"
"137",873,44.9,46688,25885,120,11,46075,"Jones","South Dakota"
"138",516126,38.3,62422,34430,56636,10529,45045,"Greenville","South Carolina"
"139",2316,50.1,51379,31765,234,19,46089,"McPherson","South Dakota"
"140",886,43.2,64896,38113,97,19,38007,"Billings","North Dakota"
"141",1743,52.7,60592,32947,119,5,38047,"Logan","North Dakota"
"142",788,49.6,65833,36040,39,8,38087,"Slope","North Dakota"
"143",2650,44.7,53906,32012,223,38,20063,"Gove","Kansas"
"144",1523,44.4,41318,28775,188,20,20101,"Lane","Kansas"
"145",1583,42,49632,25262,194,3,20199,"Wallace","Kansas"
"146",2996,45.6,61815,32369,290,24,46105,"Perkins","South Dakota"
"147",2311,48.8,57120,30845,182,11,46107,"Potter","South Dakota"
