"","fips_code","high_school_diploma_only_2015_19","some_college_or_associate_degree_2015_19","bachelor_degree_or_higher_2015_19","percent_of_adults_with_less_than_a_high_school_diploma_2015_19","percent_of_adults_with_a_high_school_diploma_only_2015_19","percent_of_adults_completing_some_college_or_associate_degree_2015_19","percent_of_adults_with_a_bachelor_degree_or_higher_2015_19"
"1",1000,1022839,993344,845772,13.8,30.8,29.9,25.5
"2",1001,12551,10596,9929,11.5,33.6,28.4,26.6
"3",1003,41797,47274,48148,9.2,27.7,31.3,31.9
"4",1005,6396,4676,2080,26.8,35.6,26,11.6
"5",1007,7256,3848,1678,20.9,44.9,23.8,10.4
"6",1009,13299,13519,5210,19.5,33.4,34,13.1
"7",1011,2860,1587,856,25.3,40.3,22.3,12.1
"8",1013,6244,3279,2230,15,45.2,23.7,16.1
"9",1015,25940,26233,14620,15.6,32.8,33.2,18.5
"10",1017,8739,7515,3163,18.4,36.7,31.6,13.3
"11",1019,7598,5391,2407,18.4,40.3,28.6,12.8
"12",1021,13348,7401,3823,18.2,44.4,24.6,12.7
"13",1023,3515,2964,1113,18.6,37.7,31.8,11.9
"14",1025,7005,4456,2050,19.4,41.8,26.6,12.2
"15",1027,3577,2678,999,23.3,37.8,28.3,10.6
"16",1029,3980,2687,1616,21,38,25.6,15.4
"17",1031,9615,12667,8044,14.1,27.2,35.9,22.8
"18",1033,14740,11366,7070,14.8,37.8,29.2,18.1
"19",1035,4516,1805,1128,15.7,51.1,20.4,12.8
"20",1037,3327,2221,1059,20,40.3,26.9,12.8
"21",1039,9819,8119,4020,16.6,37.3,30.8,15.3
"22",1041,3830,2157,1687,20.8,39.5,22.3,17.4
"23",1043,19668,19406,8004,18.4,34.1,33.6,13.9
"24",1045,10819,11961,6078,13.9,32.3,35.7,18.1
"25",1047,9411,8178,3854,18.2,35.9,31.2,14.7
"26",1049,16431,13241,6246,25.2,34.2,27.6,13
"27",1051,18232,16298,14060,13.4,32.5,29.1,25.1
"28",1053,11308,6449,3224,18.9,43.7,24.9,12.5
"29",1055,23668,24422,12815,15.4,32.9,33.9,17.8
"30",1057,4831,3387,1451,17.4,41.3,28.9,12.4
"31",1059,7601,5539,2907,22.8,36.6,26.6,14
"32",1061,6714,5943,2331,19.7,36,31.8,12.5
"33",1063,2237,1766,586,20.8,38.6,30.5,10.1
"34",1065,4303,2620,1411,16,43.4,26.4,14.2
"35",1067,3961,3622,2076,20.6,32.6,29.8,17.1
"36",1069,22558,23893,15672,14,31.2,33.1,21.7
"37",1071,15177,10429,5175,16.8,41,28.2,14
"38",1073,118636,136299,150124,9.9,26.4,30.3,33.4
"39",1075,3912,3014,1174,17.7,39.8,30.6,11.9
"40",1077,22873,17759,14948,12.6,36,27.9,23.5
"41",1079,9605,5954,2930,20.7,41.2,25.5,12.6
"42",1081,23026,30907,34273,9.1,23.7,31.8,35.3
"43",1083,20044,18829,16971,15.3,30.4,28.6,25.7
"44",1085,2800,1696,1037,21.7,39.6,24,14.7
"45",1087,3633,3760,2450,18.2,30.2,31.2,20.4
"46",1089,51126,70137,105935,8.3,20.6,28.3,42.8
"47",1091,4970,3895,2109,16.2,38,29.8,16.1
"48",1093,7408,6804,2715,20.4,34.8,32,12.8
"49",1095,19920,19887,12387,18.4,31.1,31.1,19.4
"50",1097,94715,81698,64689,13.5,34,29.3,23.2
"51",1099,6952,3670,1983,14.4,47.2,24.9,13.5
"52",1101,37648,42690,50254,13.3,25,28.4,33.4
